Index,MDS1,MDS2,decade,decade10,samID,age
CON001,-0.013907941,0.035436223,21-40,21-40,CON001,21
NLM028,-0.010403062,0.074102005,21-40,21-40,NLM028,21
NLM027,-0.006434431,0.009835774,21-40,21-40,NLM027,22
NLM007,0.008158085,0.052902018,21-40,21-40,NLM007,22
NLM008,-0.052046133,0.044008625,21-40,21-40,NLM008,22
NLM003,0.04937252,-0.022464905,21-40,21-40,NLM003,23
NOM022,-0.010547665,0.018494311,21-40,21-40,NOM022,23
NLM010,-0.003260011,0.060727308,21-40,21-40,NLM010,23
NLM015,-0.06507709,-0.025811161,21-40,21-40,NLM015,23
NLM017,0.059607089,-0.021612102,21-40,21-40,NLM017,23
NLM016,-0.124907265,-0.077152037,21-40,21-40,NLM016,23
NLM002,-0.00305151,-0.009592695,21-40,21-40,NLM002,23
NLM024,-0.103259021,-0.094797535,21-40,21-40,NLM024,23
NOM020,-0.108127295,-0.049822707,21-40,21-40,NOM020,24
NLM009,-0.133450496,-0.041030487,21-40,21-40,NLM009,24
NLM026,-0.023703782,0.071497845,21-40,21-40,NLM026,24
NLM006,-0.011243371,0.025119603,21-40,21-40,NLM006,24
NLM004,-0.104874098,0.030014774,21-40,21-40,NLM004,24
NLM021,0.006852036,0.059813364,21-40,21-40,NLM021,25
NLF011,0.000109052,0.063464944,21-40,21-40,NLF011,25
NLM029,-0.003977618,0.056493977,21-40,21-40,NLM029,25
CON032,0.032555573,0.008759443,21-40,21-40,CON032,26
NLF008,0.02529637,0.01547435,21-40,21-40,NLF008,26
NOF009,0.052616513,-0.009829474,21-40,21-40,NOF009,26
NOM019,-0.050977709,0.016633994,21-40,21-40,NOM019,26
CON038,-0.026854341,0.075321863,21-40,21-40,CON038,27
CON034,0.000137363,0.035082219,21-40,21-40,CON034,27
CON017,-0.017691448,0.087893773,21-40,21-40,CON017,27
CON035,-0.08860682,-0.005683844,21-40,21-40,CON035,27
NLF006,-0.033450213,0.075039865,21-40,21-40,NLF006,27
CON033,-0.001916341,0.035384003,21-40,21-40,CON033,27
NLF009,0.021976977,0.040811825,21-40,21-40,NLF009,27
NLF012,0.001843215,0.059507214,21-40,21-40,NLF012,27
CON037,-0.127707197,-0.080777508,21-40,21-40,CON037,28
CON016,0.004019067,0.02726055,21-40,21-40,CON016,28
CON018,0.021734428,0.002074867,21-40,21-40,CON018,28
NOM025,0.022325766,0.017773232,21-40,21-40,NOM025,28
NLM022,-0.018480404,0.058362911,21-40,21-40,NLM022,29
CON036,0.016308231,0.047955379,21-40,21-40,CON036,29
NOM010,0.02425083,0.037855373,21-40,21-40,NOM010,30
NOF011,0.01699619,0.040465524,21-40,21-40,NOF011,30
NOF008,0.013509338,0.036780178,21-40,21-40,NOF008,30
NLF001,0.005002258,0.051053582,21-40,21-40,NLF001,31
NLM001,-0.037807134,0.030209864,21-40,21-40,NLM001,32
NLF013,-0.013752267,0.068973282,21-40,21-40,NLF013,32
NOM015,0.014186755,0.052989789,21-40,21-40,NOM015,32
NOM004,0.057756074,-0.0416066,21-40,21-40,NOM004,32
NOF007,0.01590886,0.050176061,21-40,21-40,NOF007,32
NOF005,0.003447103,0.072520702,21-40,21-40,NOF005,32
NOM012,-0.087301968,-0.00155543,21-40,21-40,NOM012,32
NOF004,0.01389845,0.028977523,21-40,21-40,NOF004,33
NOM009,-0.083287978,0.067569996,21-40,21-40,NOM009,33
NLM031,0.009842357,0.046143424,21-40,21-40,NLM031,33
CON075,0.023185772,0.034227464,21-40,21-40,CON075,34
NLF002,0.017168537,0.036859564,21-40,21-40,NLF002,34
CON063,-0.123991659,0.001498134,21-40,21-40,CON063,35
NOF006,0.039233362,-0.01797272,21-40,21-40,NOF006,35
NLF010,0.03427198,0.015762171,21-40,21-40,NLF010,35
NOM016,0.027564437,0.02061908,21-40,21-40,NOM016,37
NLF014,0.05200722,-0.008928684,21-40,21-40,NLF014,37
CON087,-0.131866839,-0.072955391,21-40,21-40,CON087,38
NOM027,-0.01816766,0.03776384,21-40,21-40,NOM027,38
NOF012,0.022047978,0.033659672,21-40,21-40,NOF012,38
NLM023,0.050206475,-0.033244295,21-40,21-40,NLM023,38
CON014,-0.129440427,-0.047538691,21-40,21-40,CON014,39
NLM032,-0.015592643,0.085426484,21-40,21-40,NLM032,39
CON085,-0.016168172,0.065351068,21-40,21-40,CON085,39
NLF007,-0.015531937,0.074488578,21-40,21-40,NLF007,39
NOM017,-0.133489474,-0.029897822,21-40,21-40,NOM017,39
CON026,-0.020481958,0.09118545,21-40,21-40,CON026,40
CON093,-0.12670685,-0.03868766,21-40,21-40,CON093,40
CON020,-0.125484676,-0.056960743,21-40,21-40,CON020,40
NOF010,-0.060128197,-0.029104495,21-40,21-40,NOF010,40
CON078,0.007769387,0.039292245,41-60,41-60,CON078,41
CON074,0.012471576,0.017996439,41-60,41-60,CON074,41
CON077,0.006873371,0.065945353,41-60,41-60,CON077,41
CON072,-0.036160627,0.092676364,41-60,41-60,CON072,41
CON068,-0.112837077,-0.053064579,41-60,41-60,CON068,41
NOF013,0.015849756,0.028286378,41-60,41-60,NOF013,41
CON057,0.018673734,0.063120921,41-60,41-60,CON057,41
NOM014,0.039565653,0.008420865,41-60,41-60,NOM014,41
CON043,0.002942158,0.025799964,41-60,41-60,CON043,41
CON010,-0.00234713,0.010733816,41-60,41-60,CON010,42
CON101,-0.041570367,0.075011096,41-60,41-60,CON101,42
NOM013,-0.044648145,0.002162708,41-60,41-60,NOM013,42
NOF014,0.010697295,0.029396098,41-60,41-60,NOF014,42
CON015,-0.014745241,0.056566955,41-60,41-60,CON015,42
NLM005,0.034167878,0.040028765,41-60,41-60,NLM005,42
CON076,-0.042472749,0.073841851,41-60,41-60,CON076,43
NOM018,-0.024015815,0.077521849,41-60,41-60,NOM018,43
CON052,-0.040203854,0.002923543,41-60,41-60,CON052,43
CON060,0.001395891,-0.002844454,41-60,41-60,CON060,44
CON040,-0.022228631,0.07254426,41-60,41-60,CON040,44
CON107,-0.13223933,-0.007478609,41-60,41-60,CON107,44
CON012,0.009721223,0.028343858,41-60,41-60,CON012,44
NLF005,-0.020661436,0.056206848,41-60,41-60,NLF005,44
CON027,-0.104862863,-0.129437417,41-60,41-60,CON027,45
CON047,0.002868766,0.048416971,41-60,41-60,CON047,45
CON066,-0.11649185,0.028687411,41-60,41-60,CON066,45
CON067,0.026410976,0.006473121,41-60,41-60,CON067,45
NOF001,-0.017467873,0.001916559,41-60,41-60,NOF001,45
CON009,-0.102988919,-0.062707223,41-60,41-60,CON009,46
CON106,0.003855634,0.008813583,41-60,41-60,CON106,46
CON073,-9.81E-05,0.029779526,41-60,41-60,CON073,46
CON065,0.001626862,0.030668042,41-60,41-60,CON065,46
NOM023,0.044845271,-0.001706163,41-60,41-60,NOM023,46
CON069,-0.027822169,0.074783065,41-60,41-60,CON069,46
CON064,-0.005536976,0.065064965,41-60,41-60,CON064,46
NOM005,-0.00785596,0.000660897,41-60,41-60,NOM005,46
CON062,-0.133931071,-0.059206021,41-60,41-60,CON062,47
CON090,0.011720083,0.02681384,41-60,41-60,CON090,47
NOM028,0.032365716,-0.012245717,41-60,41-60,NOM028,47
CON058,0.004809847,0.047473864,41-60,41-60,CON058,47
CON061,-0.137502979,-0.05411083,41-60,41-60,CON061,48
CON013,-0.086835033,-0.076446384,41-60,41-60,CON013,48
CON070,-0.112516023,-0.034494568,41-60,41-60,CON070,48
NOM001,-0.135137745,-0.031202238,41-60,41-60,NOM001,48
CON019,0.044967207,0.003075086,41-60,41-60,CON019,48
CON059,-0.04564807,0.090009238,41-60,41-60,CON059,49
CON011,-0.011966105,0.043266011,41-60,41-60,CON011,49
CON091,-0.012122771,0.049444793,41-60,41-60,CON091,50
CON044,-0.06475476,-0.024584141,41-60,41-60,CON044,50
CON056,-0.006978908,0.042096574,41-60,41-60,CON056,50
CON023,0.027027432,0.027254851,41-60,41-60,CON023,50
NOF002,0.030367993,0.011264069,41-60,41-60,NOF002,51
CON105,-0.037644549,0.087258105,41-60,41-60,CON105,52
CON048,0.031664063,-0.019243821,41-60,41-60,CON048,52
CON054,-0.004036467,0.064558511,41-60,41-60,CON054,52
CON006,0.039608106,0.003925674,41-60,41-60,CON006,52
NOM026,-0.017473629,0.036265711,41-60,41-60,NOM026,52
CON081,-0.023489759,0.077208205,41-60,41-60,CON081,52
MHS234,-0.037104419,0.107348902,41-60,41-60,MHS234,53
MHS267,-0.017936952,0.069796946,41-60,41-60,MHS267,53
CON082,-0.106182201,-0.046404331,41-60,41-60,CON082,53
CON028,-0.108360401,-0.04021691,41-60,41-60,CON028,53
CON039,0.050618496,-0.038763716,41-60,41-60,CON039,53
CON005,-0.04828446,0.020864873,41-60,41-60,CON005,53
CON002,-0.001892181,0.03438316,41-60,41-60,CON002,53
CON022,-0.011446824,0.064572856,41-60,41-60,CON022,53
MHS285,-0.007615594,0.050458767,41-60,41-60,MHS285,54
CON029,-0.031229187,0.086255515,41-60,41-60,CON029,54
CON042,0.043659864,-0.040987902,41-60,41-60,CON042,54
CON045,0.05471887,-0.008011064,41-60,41-60,CON045,54
CON095,-0.010988164,0.043180647,41-60,41-60,CON095,54
NOM008,0.032435679,0.042354704,41-60,41-60,NOM008,54
MHS258,-0.031749577,0.095972966,41-60,41-60,MHS258,55
MHS266,-0.037222286,0.080577431,41-60,41-60,MHS266,55
CON104,-0.02108672,0.050728634,41-60,41-60,CON104,55
CON099,-0.017101785,0.0657222,41-60,41-60,CON099,55
CON089,0.039877576,0.015642352,41-60,41-60,CON089,55
CON007,0.058329723,-0.045564712,41-60,41-60,CON007,55
CON004,0.012039546,0.055772808,41-60,41-60,CON004,55
MBE034,-0.005423732,0.028315068,41-60,41-60,MBE034,56
MHS226,0.017244816,0.011393394,41-60,41-60,MHS226,56
MHS289,-0.008056411,0.038222846,41-60,41-60,MHS289,56
CON041,0.035085906,-0.007029838,41-60,41-60,CON041,56
CON088,0.039289045,0.01640772,41-60,41-60,CON088,56
CON055,0.054156239,0.007738452,41-60,41-60,CON055,56
CON008,0.04697461,0.001588399,41-60,41-60,CON008,56
CON080,0.030252314,0.011146437,41-60,41-60,CON080,56
CON031,-0.046000258,0.083462647,41-60,41-60,CON031,56
MBM137,-0.072812978,0.061499469,41-60,41-60,MBM137,57
MHS229,-0.024948874,0.077145218,41-60,41-60,MHS229,57
WFC024,0.017351699,-0.023927557,41-60,41-60,WFC024,57
CON021,-0.016133791,0.060961159,41-60,41-60,CON021,57
CON097,0.018518517,0.029115151,41-60,41-60,CON097,57
MBE033,-0.059423196,0.065486133,41-60,41-60,MBE033,58
MHS236,0.001978543,0.078868494,41-60,41-60,MHS236,58
MHS249,0.001997384,0.0472665,41-60,41-60,MHS249,58
MHS255,-0.002468297,0.06009691,41-60,41-60,MHS255,58
CON049,0.010138909,0.05911659,41-60,41-60,CON049,58
MBE037,-0.036971708,0.05691519,41-60,41-60,MBE037,59
MBE039,-0.018007041,0.078930758,41-60,41-60,MBE039,59
MHS231,0.025320009,0.024239356,41-60,41-60,MHS231,59
MHS287,-0.003418916,0.042111846,41-60,41-60,MHS287,59
NLF015,0.032264496,-0.00163277,41-60,41-60,NLF015,59
CON096,0.009475867,0.034562496,41-60,41-60,CON096,59
MBE035,-0.030867044,0.100853961,41-60,41-60,MBE035,60
MHS235,-0.017072735,0.061136816,41-60,41-60,MHS235,60
MHS238,-0.018775004,0.066473947,41-60,41-60,MHS238,60
MHS250,0.020865166,-0.008986991,41-60,41-60,MHS250,60
MHS257,-0.012132005,0.038277464,41-60,41-60,MHS257,60
MHS259,-0.007014355,0.08439137,41-60,41-60,MHS259,60
MHS279,0.021095585,0.023978404,41-60,41-60,MHS279,60
MHS286,-0.014824742,0.078030512,41-60,41-60,MHS286,60
MHS288,0.001195781,0.006341768,41-60,41-60,MHS288,60
CON079,-0.105116886,-0.082883445,41-60,41-60,CON079,60
CON050,0.031824145,-0.002103173,41-60,41-60,CON050,60
CON083,0.001802798,0.015829493,41-60,41-60,CON083,60
CON053,0.011475032,0.023890245,41-60,41-60,CON053,60
MHS246,-0.026791936,0.100142099,61-80,61-70,MHS246,61
MHS253,-0.028060861,0.073930103,61-80,61-70,MHS253,61
MHS276,0.037869101,-0.004040555,61-80,61-70,MHS276,61
MHS277,0.004652304,0.028958707,61-80,61-70,MHS277,61
WFC023,-0.033286084,0.060436337,61-80,61-70,WFC023,61
CON003,-0.06616426,-0.082121302,61-80,61-70,CON003,61
CON051,0.01526009,0.014202093,61-80,61-70,CON051,61
MBH208,-0.056718344,0.077835481,61-80,61-70,MBH208,62
MHS240,-0.021416959,0.070364638,61-80,61-70,MHS240,62
MHS251,-0.019742388,0.086750464,61-80,61-70,MHS251,62
MHS269,-0.007665697,0.057324545,61-80,61-70,MHS269,62
CON098,-0.001110277,0.05267733,61-80,61-70,CON098,62
MHS239,-0.041059484,0.094222639,61-80,61-70,MHS239,63
MHS243,-0.022683359,0.084252,61-80,61-70,MHS243,63
MHS247,-0.078937897,0.047740835,61-80,61-70,MHS247,63
MBE038,-0.030627222,0.098790784,61-80,61-70,MBE038,64
MBM139,-0.006364148,0.059808953,61-80,61-70,MBM139,64
CON071,-0.123777357,-0.064369962,61-80,61-70,CON071,64
MHS232,-0.001957304,0.076199912,61-80,61-70,MHS232,65
MHS244,-0.009366214,0.055282154,61-80,61-70,MHS244,67
MHS248,-0.041132967,0.101637981,61-80,61-70,MHS248,67
MHS282,0.038584699,-0.007182426,61-80,61-70,MHS282,67
CON086,0.029738788,0.032520502,61-80,61-70,CON086,67
CON046,-0.102310639,-0.066191501,61-80,61-70,CON046,67
MBH207,0.008879612,0.0545281,61-80,61-70,MBH207,68
NOM002,0.002925116,0.055423897,61-80,61-70,NOM002,68
MBE036,0.028315748,-0.012065341,61-80,61-70,MBE036,69
CON084,-0.081534852,0.010013224,61-80,61-70,CON084,69
CON092,0.031282126,0.034436207,61-80,61-70,CON092,70
MBM135,0.007210145,-0.036499867,61-80,71-80,MBM135,73
MHS283,-0.118710241,-0.022087339,61-80,71-80,MHS283,74
MBS1228,0.007044759,0.038166381,61-80,71-80,MBS1228,77
