,decade,variable,simpson
435,21-40,simpson,0.958660726
436,21-40,simpson,0.872298601
437,21-40,simpson,0.866344969
438,21-40,simpson,0.817711964
439,21-40,simpson,0.825589183
440,21-40,simpson,0.888259612
441,21-40,simpson,0.896419647
442,21-40,simpson,0.914603673
443,21-40,simpson,0.890989936
444,21-40,simpson,0.894030434
445,21-40,simpson,0.409198983
446,21-40,simpson,0.561828412
447,21-40,simpson,0.656401244
448,21-40,simpson,0.709756506
449,21-40,simpson,0.590700344
450,21-40,simpson,0.941688306
451,21-40,simpson,0.939894167
452,21-40,simpson,0.89282735
453,21-40,simpson,0.925190353
454,21-40,simpson,0.895216225
455,21-40,simpson,0.898186283
456,21-40,simpson,0.909648502
457,21-40,simpson,0.914674208
458,21-40,simpson,0.890088014
459,21-40,simpson,0.922602473
460,21-40,simpson,0.888257467
461,21-40,simpson,0.855416294
462,21-40,simpson,0.91567606
463,21-40,simpson,0.847602738
464,21-40,simpson,0.891638934
465,21-40,simpson,0.919546516
466,21-40,simpson,0.931152414
467,21-40,simpson,0.89598639
468,21-40,simpson,0.437451521
469,21-40,simpson,0.832478549
470,21-40,simpson,0.855286405
471,21-40,simpson,0.855221401
472,21-40,simpson,0.903949121
473,21-40,simpson,0.931498519
474,21-40,simpson,0.90972125
475,21-40,simpson,0.874266095
476,21-40,simpson,0.915584332
477,21-40,simpson,0.918300913
478,21-40,simpson,0.945765828
479,21-40,simpson,0.890306295
480,21-40,simpson,0.922775371
481,21-40,simpson,0.872342764
482,21-40,simpson,0.837481621
483,21-40,simpson,0.929579836
484,21-40,simpson,0.885181798
485,21-40,simpson,0.933104624
486,21-40,simpson,0.92954144
487,21-40,simpson,0.913018055
488,21-40,simpson,0.909529109
489,21-40,simpson,0.914405805
490,21-40,simpson,0.748871776
491,21-40,simpson,0.798031546
492,21-40,simpson,0.882765124
493,21-40,simpson,0.903877291
494,21-40,simpson,0.876759412
495,21-40,simpson,0.298718291
496,21-40,simpson,0.777302198
497,21-40,simpson,0.946552736
498,21-40,simpson,0.904590591
499,21-40,simpson,0.602385597
500,21-40,simpson,0.924766409
501,21-40,simpson,0.93860446
502,21-40,simpson,0.938129668
503,21-40,simpson,0.606239834
504,21-40,simpson,0.914821133
505,21-40,simpson,0.700855991
506,21-40,simpson,0.517414581
507,21-40,simpson,0.896362263
508,41-60,simpson,0.906999792
509,41-60,simpson,0.837307961
510,41-60,simpson,0.881428459
511,41-60,simpson,0.898096722
512,41-60,simpson,0.716635159
513,41-60,simpson,0.887483886
514,41-60,simpson,0.910260336
515,41-60,simpson,0.806272954
516,41-60,simpson,0.94930648
517,41-60,simpson,0.809403241
518,41-60,simpson,0.886542208
519,41-60,simpson,0.943764476
520,41-60,simpson,0.908031164
521,41-60,simpson,0.816496489
522,41-60,simpson,0.913484694
523,41-60,simpson,0.836960727
524,41-60,simpson,0.910113863
525,41-60,simpson,0.948331691
526,41-60,simpson,0.90095155
527,41-60,simpson,0.918961247
528,41-60,simpson,0.737817314
529,41-60,simpson,0.933928218
530,41-60,simpson,0.863505593
531,41-60,simpson,0.556985924
532,41-60,simpson,0.874624613
533,41-60,simpson,0.851520821
534,41-60,simpson,0.936585833
535,41-60,simpson,0.920046651
536,41-60,simpson,0.770429557
537,41-60,simpson,0.903755694
538,41-60,simpson,0.938661217
539,41-60,simpson,0.928317635
540,41-60,simpson,0.89466445
541,41-60,simpson,0.873599488
542,41-60,simpson,0.863880169
543,41-60,simpson,0.820526536
544,41-60,simpson,0.448684093
545,41-60,simpson,0.842499654
546,41-60,simpson,0.881548589
547,41-60,simpson,0.816928573
548,41-60,simpson,0.606160169
549,41-60,simpson,0.776578563
550,41-60,simpson,0.738181676
551,41-60,simpson,0.564425171
552,41-60,simpson,0.838045892
553,41-60,simpson,0.879599123
554,41-60,simpson,0.889753094
555,41-60,simpson,0.774538555
556,41-60,simpson,0.890999306
557,41-60,simpson,0.935723432
558,41-60,simpson,0.894572414
559,41-60,simpson,0.843406619
560,41-60,simpson,0.83223737
561,41-60,simpson,0.846756864
562,41-60,simpson,0.908240846
563,41-60,simpson,0.906479175
564,41-60,simpson,0.897540894
565,41-60,simpson,0.927046626
566,41-60,simpson,0.933168701
567,41-60,simpson,0.86354344
568,41-60,simpson,0.767527377
569,41-60,simpson,0.793051424
570,41-60,simpson,0.902395748
571,41-60,simpson,0.953918421
572,41-60,simpson,0.914540516
573,41-60,simpson,0.881690866
574,41-60,simpson,0.836978675
575,41-60,simpson,0.853226023
576,41-60,simpson,0.874744198
577,41-60,simpson,0.875320217
578,41-60,simpson,0.885900579
579,41-60,simpson,0.838358961
580,41-60,simpson,0.885817285
581,41-60,simpson,0.87206648
582,41-60,simpson,0.873340724
583,41-60,simpson,0.918934933
584,41-60,simpson,0.914419726
585,41-60,simpson,0.896319977
586,41-60,simpson,0.929317495
587,41-60,simpson,0.336619311
588,41-60,simpson,0.937290557
589,41-60,simpson,0.85967031
590,41-60,simpson,0.933237192
591,41-60,simpson,0.809775715
592,41-60,simpson,0.870807885
593,41-60,simpson,0.741477036
594,41-60,simpson,0.920495915
595,41-60,simpson,0.804171612
596,41-60,simpson,0.924506713
597,41-60,simpson,0.901572105
598,41-60,simpson,0.876614542
599,41-60,simpson,0.931240286
600,41-60,simpson,0.912703275
601,41-60,simpson,0.907059231
602,41-60,simpson,0.934777731
603,41-60,simpson,0.787197857
604,41-60,simpson,0.900113346
605,41-60,simpson,0.88262911
606,41-60,simpson,0.900895436
607,41-60,simpson,0.92921065
608,41-60,simpson,0.896776904
609,41-60,simpson,0.883149223
610,41-60,simpson,0.744748743
611,41-60,simpson,0.850372753
612,41-60,simpson,0.852008007
613,41-60,simpson,0.917273477
614,41-60,simpson,0.919723903
615,41-60,simpson,0.808368447
616,41-60,simpson,0.626424132
617,41-60,simpson,0.872014509
618,41-60,simpson,0.882677534
619,41-60,simpson,0.932825426
620,41-60,simpson,0.911912106
621,41-60,simpson,0.667088336
622,41-60,simpson,0.873585757
623,41-60,simpson,0.875053827
624,41-60,simpson,0.927458326
625,61-70,simpson,0.90424566
626,61-70,simpson,0.670605739
627,61-70,simpson,0.887497874
628,61-70,simpson,0.933688883
629,61-70,simpson,0.938645717
630,61-70,simpson,0.865057813
631,61-70,simpson,0.89661953
632,61-70,simpson,0.90774307
633,61-70,simpson,0.913665062
634,61-70,simpson,0.873125997
635,61-70,simpson,0.925937402
636,61-70,simpson,0.942673178
637,61-70,simpson,0.907809434
638,61-70,simpson,0.948466025
639,61-70,simpson,0.843526904
640,61-70,simpson,0.916403508
641,61-70,simpson,0.657493802
642,61-70,simpson,0.456678885
643,61-70,simpson,0.922667822
644,61-70,simpson,0.920797436
645,61-70,simpson,0.88057574
646,61-70,simpson,0.933382073
647,61-70,simpson,0.813223112
648,61-70,simpson,0.693819855
649,61-70,simpson,0.933367824
650,61-70,simpson,0.903140107
651,61-70,simpson,0.843934569
652,61-70,simpson,0.890417053
653,61-70,simpson,0.923696243
654,71-80,simpson,0.756384193
655,71-80,simpson,0.774598087
656,71-80,simpson,0.906821013
657,71-80,simpson,0.823029623
658,71-80,simpson,0.887407087
659,71-80,simpson,0.874354566
660,71-80,simpson,0.895549739
661,71-80,simpson,0.887238315
662,71-80,simpson,0.919788097
663,71-80,simpson,0.916000691
664,71-80,simpson,0.841443903
665,71-80,simpson,0.860548071
666,71-80,simpson,0.86947625
667,71-80,simpson,0.893359962
668,71-80,simpson,0.504098148
669,71-80,simpson,0.822254543
670,71-80,simpson,0.878172131
671,71-80,simpson,0.907863516
672,71-80,simpson,0.922097733
673,71-80,simpson,0.925107446
674,71-80,simpson,0.908538696
675,71-80,simpson,0.773660176
676,81-90,simpson,0.697213042
677,81-90,simpson,0.95017214
678,81-90,simpson,0.831793079
679,81-90,simpson,0.917322325
680,81-90,simpson,0.867855333
681,81-90,simpson,0.922250547
682,81-90,simpson,0.790083144
683,81-90,simpson,0.941216759
684,81-90,simpson,0.608712806
685,81-90,simpson,0.654227367
686,81-90,simpson,0.876150904
687,81-90,simpson,0.868820489
688,81-90,simpson,0.901594558
689,81-90,simpson,0.865631184
690,81-90,simpson,0.73844065
691,81-90,simpson,0.809309899
692,81-90,simpson,0.781628294
693,81-90,simpson,0.792589656
694,81-90,simpson,0.748093792
695,81-90,simpson,0.934154274
696,81-90,simpson,0.948131954
697,81-90,simpson,0.903447089
698,81-90,simpson,0.732920148
699,81-90,simpson,0.952723048
700,81-90,simpson,0.692475538
701,81-90,simpson,0.952189089
702,81-90,simpson,0.804709251
703,81-90,simpson,0.846345787
704,81-90,simpson,0.933612795
705,81-90,simpson,0.585623413
706,81-90,simpson,0.872440851
707,81-90,simpson,0.58055351
708,81-90,simpson,0.925709188
709,81-90,simpson,0.794591298
710,81-90,simpson,0.890821502
711,81-90,simpson,0.836922225
712,81-90,simpson,0.884975537
713,81-90,simpson,0.914717257
714,81-90,simpson,0.784746981
715,81-90,simpson,0.382394698
716,81-90,simpson,0.898024591
717,81-90,simpson,0.885170034
718,81-90,simpson,0.799919865
719,81-90,simpson,0.849087499
720,81-90,simpson,0.787457714
721,81-90,simpson,0.912707321
722,81-90,simpson,0.902058571
723,81-90,simpson,0.965223926
724,81-90,simpson,0.878078425
725,81-90,simpson,0.916675128
726,81-90,simpson,0.942630439
727,81-90,simpson,0.877333955
728,81-90,simpson,0.832169176
729,81-90,simpson,0.938696579
730,81-90,simpson,0.855173887
731,81-90,simpson,0.837741422
732,81-90,simpson,0.796125198
733,81-90,simpson,0.106368633
734,81-90,simpson,0.874549439
735,81-90,simpson,0.882853336
736,81-90,simpson,0.848402721
737,81-90,simpson,0.102923101
738,81-90,simpson,0.866467925
739,81-90,simpson,0.910932065
740,81-90,simpson,0.466131346
741,81-90,simpson,0.859310927
742,81-90,simpson,0.918243353
743,81-90,simpson,0.79002459
744,81-90,simpson,0.934557551
745,81-90,simpson,0.947691025
746,81-90,simpson,0.7485441
747,81-90,simpson,0.870990767
748,81-90,simpson,0.829997644
749,81-90,simpson,0.858509905
750,81-90,simpson,0.384462266
751,81-90,simpson,0.903162208
752,81-90,simpson,0.885233223
753,81-90,simpson,0.846042654
754,81-90,simpson,0.924484266
755,81-90,simpson,0.912586306
756,81-90,simpson,0.926000758
757,81-90,simpson,0.805616403
758,81-90,simpson,0.895803451
759,81-90,simpson,0.870466918
760,81-90,simpson,0.89994376
761,81-90,simpson,0.897451977
762,81-90,simpson,0.890671261
763,81-90,simpson,0.82655484
764,81-90,simpson,0.851217203
765,81-90,simpson,0.904724344
766,81-90,simpson,0.840453451
767,81-90,simpson,0.804336947
768,81-90,simpson,0.883611529
769,81-90,simpson,0.731430432
770,81-90,simpson,0.883722715
771,81-90,simpson,0.729358619
772,81-90,simpson,0.911473203
773,81-90,simpson,0.809639037
774,81-90,simpson,0.851740099
775,81-90,simpson,0.9198597
776,81-90,simpson,0.929707397
777,81-90,simpson,0.926734272
778,81-90,simpson,0.817116434
779,81-90,simpson,0.919365257
780,81-90,simpson,0.826622156
781,81-90,simpson,0.890546586
782,81-90,simpson,0.858365995
783,81-90,simpson,0.671684656
784,81-90,simpson,0.710694698
785,81-90,simpson,0.879427809
786,81-90,simpson,0.867662479
787,81-90,simpson,0.866826292
788,81-90,simpson,0.928340119
789,81-90,simpson,0.921848613
790,81-90,simpson,0.855403067
791,81-90,simpson,0.896275795
792,81-90,simpson,0.866094318
793,81-90,simpson,0.903067922
794,81-90,simpson,0.890731958
795,81-90,simpson,0.927594019
796,81-90,simpson,0.89725938
797,81-90,simpson,0.823189492
798,81-90,simpson,0.902349163
799,81-90,simpson,0.652558595
800,81-90,simpson,0.93968284
801,81-90,simpson,0.757533496
802,81-90,simpson,0.16506049
803,81-90,simpson,0.83539917
804,81-90,simpson,0.930794662
805,81-90,simpson,0.792873116
806,81-90,simpson,0.92032928
807,81-90,simpson,0.854862581
808,81-90,simpson,0.922843437
809,81-90,simpson,0.912115031
810,81-90,simpson,0.48251309
811,81-90,simpson,0.894118628
812,81-90,simpson,0.842314812
813,81-90,simpson,0.859553107
814,81-90,simpson,0.914934858
815,81-90,simpson,0.926329482
816,81-90,simpson,0.916808098
817,81-90,simpson,0.855965315
818,81-90,simpson,0.810038448
819,81-90,simpson,0.870429616
820,81-90,simpson,0.913241771
821,81-90,simpson,0.754354208
822,81-90,simpson,0.519219602
823,81-90,simpson,0.859589671
824,81-90,simpson,0.816337348
825,81-90,simpson,0.811364702
826,81-90,simpson,0.937555477
827,81-90,simpson,0.913394178
828,81-90,simpson,0.928397224
829,81-90,simpson,0.789996242
830,81-90,simpson,0.908508392
831,81-90,simpson,0.722305316
832,81-90,simpson,0.612496612
833,81-90,simpson,0.805390625
834,81-90,simpson,0.824558616
835,81-90,simpson,0.899119395
836,81-90,simpson,0.816804094
837,81-90,simpson,0.628797022
838,81-90,simpson,0.739961377
839,81-90,simpson,0.810483126
840,81-90,simpson,0.838531552
841,81-90,simpson,0.812049607
842,81-90,simpson,0.851034237
843,81-90,simpson,0.926036238
844,81-90,simpson,0.903494472
845,81-90,simpson,0.895996721
846,91-100,simpson,0.70904104
847,91-100,simpson,0.856626202
848,91-100,simpson,0.707511916
849,91-100,simpson,0.831614386
850,91-100,simpson,0.938400918
851,91-100,simpson,0.899777036
852,91-100,simpson,0.704014121
853,91-100,simpson,0.888903275
854,91-100,simpson,0.825475987
855,91-100,simpson,0.903634054
856,91-100,simpson,0.911126161
857,91-100,simpson,0.789989071
858,91-100,simpson,0.795978539
859,91-100,simpson,0.826710933
860,91-100,simpson,0.921564052
861,91-100,simpson,0.849031627
862,91-100,simpson,0.875554957
863,91-100,simpson,0.905149448
864,91-100,simpson,0.743317272
865,91-100,simpson,0.859369856
866,91-100,simpson,0.528500393
867,91-100,simpson,0.934580247
868,91-100,simpson,0.713305614
