"","Index","MBH043","MBH060","MBH068","MBH069","MBH078","MBH089","MBH094","MBH095","MBS1115","MBS1116","MBS1123","MBS1124","MBS1141","MBS1150","MBS1151","MBS1152","MBS1159","MBS1160","MBS1163","MBS1168","MBS1169","MHH256","MHH257","MHH260","MHH263","MHH264","MHH265","MHH266","MHH335","MHH336","MHH343","MHH344","MHH346","MHH347","MHH348","MHH351","MHH352","MHH356","MHH357","MHH358","MHH359","MHH366","MHH369","MHH370","MHH372","MHH373","MHH374","MHH375","MHH376","MHH380","MHH381","MHH383","MHH384","MHH392","MHH393","MHH394","MHH395","MHH396","MHH520","MHH540","MHH545","MHH552","MHH553","MHH554","MHH563","MHH564","MHH565","MHH566","MHH567","MHH573","MHH574","MHH589","MHH590","MHH592","MHH594","MHH595","MHH596","MHH597","MHH607","MHH616","MHH617","MHH619","MHH621","MHH622","MHH623","MHH624","MHS119","MHS120","MHS124","MHS127","MHS132","MHS136","MHS137","MHS138","MHS141","MHS142"
"1","g__Bacteroides",49.7259107307352,33.9016337324962,38.5820859509727,40.335289881518,9.2771919463692,17.2609046857083,49.4876282489155,20.7783367893039,33.7171972109593,42.5880334445996,11.7623370039249,15.8219990167725,0.840733605599066,32.9627057318469,27.5477796151901,21.08122361488,6.66297216316726,20.5020610638457,14.3525366567541,18.8269118243465,10.1906300055993,25.0584742456108,19.4202652405453,15.868308888249,26.9498662690327,17.0951217385298,2.17663753187902,12.3043343980699,15.6882484234429,11.5491624892724,46.8215546397784,12.7178075440154,22.0603021806882,15.6407816245934,34.9922206801636,15.5948346102194,24.5197553929151,3.86918280712933,21.846005914987,28.769154343232,6.96996958876943,55.0613814261669,20.5752009587853,17.8516078181319,24.9926677136618,13.4948022411699,63.9978694415467,23.0476256181633,18.8925945265375,7.10194973667809,7.68740359668826,12.645830846467,52.6261498112118,17.8860253202123,4.92478150067283,12.9291910846701,23.4541838284496,19.6050027972937,17.7288404484657,4.97793831933714,6.99878652058016,56.1081563494842,33.352322377127,55.5651288762128,12.2219446567414,47.4355739950727,32.5673303254504,31.8738224792359,47.6823493823178,31.1966312330924,17.5693623977345,25.8257305623656,36.9516566465951,44.3967183794864,8.61988579573078,41.59981190146,15.785418293964,7.14710747993338,27.3856420955582,44.7007104280966,27.3478438487619,1.43505879284134,20.4026876616822,38.1155033079267,16.9586388482339,27.151036917065,12.0495194397167,21.2260945670791,13.4821258519392,14.437289347565,26.4765201286471,43.5398871363301,7.97444613844078,52.3037205343388,13.4192875481386,31.1451011368723
"2","g__Bifidobacterium",12.9433231882211,18.5271327028278,0,2.26290098435489,11.0981314990812,8.90603867730247,0.399796081758897,0,0.166838186160493,8.92588877538285,2.95589052051964,4.29029284553665,42.3645325651404,1.78594765878553,6.31417297501683,0,11.5694828926156,9.96861892566181,11.7583159835429,4.81536341279545,2.57511872727457,9.54181361062836,34.5351106456827,0.602745701545179,2.78368920529101,1.32408285514447,44.8973987081981,6.91275060397746,0,17.1489228498741,0,0.604086639720084,0,13.2063965572489,19.6578205932404,2.9578361100602,1.82803255868395,22.2523545295499,6.57707802700436,23.9538209814966,16.0392334446688,3.94231694919219,0,0.128614179200008,3.67572167556653,0.402711779719342,7.61790110875386,13.7600774466033,15.1452871286096,18.8959862109809,25.3739724256121,0.994736484609965,0,0.188997076253283,25.0976859696268,13.9213274857897,6.33364846621101,10.8624885023074,21.3937869599784,4.87166684536003,0.680362486150507,5.72707259255682,3.83015339652839,0.600933475986331,0,7.5854885850118,1.66915805728986,0,18.6172923714448,9.82803704157437,9.73512887079389,10.3760766586809,2.61896591335548,0,51.2046809054609,13.4997843026696,0.917092992129229,20.6202015955074,4.60343538027481,1.69796095291618,13.517110650757,6.273709685565,0,12.0228243375939,19.8310515660125,4.36054091172039,17.0003350754706,30.4578821906225,0.432549239894661,8.68967657444492,6.07730926196702,0,25.3661198878175,6.0211999007134,12.0991154525032,2.42948290750057
"3","g__Parabacteroides",11.0133209369229,3.55807303676657,1.49346780272191,10.0721318544595,2.43594854803567,3.21712019711353,3.8919362129573,4.07911761716665,2.8870264410779,5.88683999661559,3.22846517116754,3.56713091938811,0,3.99138862716425,5.22597440503573,7.14979969618523,3.24701495892558,3.85373481145766,0.999017407832986,3.16536794241141,0.674236038194145,7.4744651179628,0.880170870547932,4.87104963099804,3.96241578729156,5.27473211320575,0.632491437601987,7.95498218131893,2.92265594788187,1.78669357580527,3.12036739652397,3.2794411762839,0.426325541772762,1.3941059929315,4.73845841195233,5.04975903389093,2.49386497982288,1.26125341051319,4.31906926377748,7.41621645302117,0.936125552494829,2.89229396547735,2.64201505373109,1.41647686514713,3.85905147229794,3.1415863651875,6.70622892157798,2.10434755148834,8.88228567850763,2.68539821128191,3.16446630833899,3.98504504091724,4.24208195961059,9.34185548337658,1.82488410070787,5.24289094175944,6.10800247646022,1.72646070773646,1.42359262019973,0.837681678148762,1.57535254968859,3.405847409536,6.69600278117693,3.36756830694112,1.37827139639583,3.54245375333123,7.53078312165051,3.31049544140659,2.03190874566846,9.05833586047754,0.60095303711815,4.01379481652363,5.91070973502507,2.92425947510148,1.48855088612488,1.97247810767715,2.72091339350904,2.16662388056307,3.13755374902675,4.11780152871828,1.87259663989789,0.564669916597731,4.11200998641318,3.80552870857085,0.822509204628475,7.01981002749848,3.9599251349117,2.46195989951848,1.25475442534236,5.47819860281446,1.84761455375021,3.55440817444521,1.3358596144358,4.13757827110669,5.11267450256739,3.76538932256213
"4","g__Ruminococcus",5.52986344642036,3.45340667487398,0,1.2573873379115,4.06655211977459,0,0.64467105604773,0.773730615643961,1.71243373746389,1.51540943266655,0.884162453487273,2.1072924651368,0,0.838614085285293,13.0972194344994,4.97039911091576,4.47472148715742,0.958341001653547,17.488860814827,0,2.22183403901489,1.91655137275217,5.10425252587045,4.71642993286576,2.65286368449223,4.46314191480025,5.89172312767101,2.92208658048476,5.56734435979788,0,4.31782392852314,8.52928947204305,3.7599096666859,1.3296769979143,8.87125162792265,2.3439512890646,6.98541811826561,8.20862750906804,2.20077636467933,0,26.8757766511677,0,0.670838786675292,1.11413290695418,0.624685642372173,3.20489823685238,0,4.46893894190972,0,1.53696640172536,1.59804024388139,0,1.02248995451111,4.93164182929922,1.70615947322833,0.776054505539319,1.92283292904508,16.8513947513952,0,0.536351405680399,0.344085481208656,0,0.880675901507615,1.97924991141265,3.43106702511056,1.16671713685825,1.05641859701728,9.25114824431133,0,1.27941445231932,22.2592726860175,0,1.05482502605346,2.03892528435352,0.489761777503994,3.02413092495806,3.27402238489515,5.91060082658525,1.00047853094026,0,0,1.07954968176573,12.8834062178266,0.987403485131824,4.55243322876908,1.52414606341956,1.17251228626849,2.57716982796488,5.35947192427957,3.13277079006464,0,4.17192530073137,1.2530389124577,1.5435248151189,2.52489168806162,0
"5","g__Blautia",3.41899179107146,8.28304326497907,0.497076841843464,7.56123896594415,3.15439773169798,8.23548875704684,5.8375319854979,1.58818495345422,4.70987134982407,4.86017085662044,2.54167951187892,3.39814811742299,2.32426746086956,2.62851865820941,19.1036646608798,17.2732252006312,4.52823224229734,1.51778551890662,4.17056010373497,3.93437821831222,1.18358913724462,1.24224617715062,1.04928667100256,15.538548945384,3.06507516561045,1.58300266421666,3.55984950354149,3.565587871563,3.50936904938823,17.1109511101026,5.99671184735171,12.8694664473945,3.54789509821311,1.21575061839074,5.89727273596138,3.37297241415237,1.38476385007493,10.3635928560201,3.64909105212846,1.01528167525295,5.11809724713686,24.7647996501697,6.33726976867801,0.421739781512889,1.93164870344552,16.4892878224065,7.77022298573369,1.83994013295496,0.472497229635058,7.05667362019126,3.73904291604669,1.53356757102189,3.69080378183584,16.1706156156443,1.10252657631513,1.46695664895853,2.45866932354724,5.35264522927038,0.892039251656632,0.409510935179927,0.260081551846725,19.5288245213689,10.3822170165531,2.92443010483223,2.31140954915956,3.69110591733466,7.64154470370398,6.95190891507013,0.941251993016938,1.00144197844262,4.07310822817193,1.12423273090622,2.11450794420932,2.32107833286443,0.513033438921451,0.738876590327459,3.59690101797242,3.58692796145165,1.32641597668205,3.85214829524978,1.1810388443682,0.549950747007897,4.23204362232252,0.592424020188799,1.58363412636603,0.814526984801174,0.604062694373493,1.17894480350535,3.95003041707149,1.8324100446312,0.880892073538833,5.99167227940477,0.507883853140405,1.15626686389997,2.59043043966624,0.124719321198705
"6","g__Collinsella",3.22423182630655,8.19016293077076,1.49219365831239,0,1.96649000537467,3.50077215358355,0,1.4385597051888,1.04569422066934,0,0.532100675123261,3.25215220538897,8.26214734942535,0,0,1.35644973851826,2.71660415047562,2.55449892737176,2.98461740928405,3.32504945918796,0,0.570859053227132,3.65088091543083,2.28776881689272,1.37409523993358,0,7.45498681852287,3.65274659674915,0,9.06376878419217,0,3.38783805009348,1.51084300920486,0,0,1.4404264318733,3.0442058031137,4.78212463424466,5.5245209993306,1.05763364331826,2.94698443589551,2.17789646255582,0,0.697485361331372,0,1.84942073408984,2.10487528401589,1.59756750404566,0.947191887456358,3.08665352326259,5.63426855922415,0.399224941731968,0.374189310100207,0.774159164853188,3.54126523360276,0.571973814896064,1.87703468902754,4.76088523727473,1.48899663824553,0.558920026194069,0.231842403442965,0.673273124615143,1.16229818241412,1.55565229600887,2.22756159705629,0,0,0,1.6939765773965,1.02924725913638,1.69594621689967,0.781462429010715,0.99903956261306,0,2.7185467692955,0,3.00694831836228,3.86012838648823,0.804387723392581,0.829136876485309,0.246159630967884,1.42577145868677,0,1.31334210976239,4.02616597988605,2.08699663838185,3.02568314191585,0,0,1.61042907817088,0.994153645069263,0.355515418723368,3.27314211205962,0,3.68116174582798,0.52066596336928
"7","g__Megasphaera",1.94388273908964,1.87791042980988,0.759490394405884,0,5.62469224406775,0.307148559286453,0,0.142598370508264,0,0.413093420470598,3.32269855232574,0,1.70645045923578,0,0,0,3.47619192898846,0,0,0,0,0,0,0,0,0,8.60964334256126,0,0,0.171491441421324,0,0,0.627190460492621,0.179852554867891,0,0,0,6.90009935946653,0,0,0,0,0,0,3.05611706866713,0,3.28197368830593,0,0,0.693811771729999,0,0,0,0,19.455945353171,0,0,0,0.332788668341832,1.32649428434111,0,3.59031710193223,0,0,0.15888088807226,0.533551133686678,0,0,0.271700675001189,0,0,0.350788908277794,0,1.28237410071942,3.41476401709944,3.13485823864157,0,5.97272202239161,0.718845024336918,0,0.289980836022842,1.91313059367351,8.58240496751807,0,5.47727636228903,0,4.81976747817526,2.36249599700695,0,3.39996545199635,0.107112167540311,0,6.35420896979272,1.34248954124163,5.59543485237484,0
"8","g__Streptococcus",1.92751423933567,2.91603621810105,0.304199469614816,0.10277685565775,0,2.92598197310808,4.98113373872784,2.20462006657137,5.4786881709253,0.158930782509012,0,1.98559065899673,11.9762765840834,0,1.07512237698453,0.893596542772474,0.107372762423487,0.176764397693503,1.10421956375165,0.144556014275421,0,0.152211030932663,1.08667567115066,10.6794326774385,0.221909761053666,0.572275914486479,0.102755823190722,1.61285404521244,0.966094295195189,24.6643901728534,0.269435510339687,5.83140724611793,3.14630626808734,0.22944037308528,0.805407344100469,0.103824302409098,0.21533983616168,0,1.62207422123597,0.323502719770039,2.12363612661871,0.585851327539169,0,0.565650795797718,0,9.94533454867989,0.221539925882269,0.474074827973261,0.300254981940953,0,5.02597823527268,0,0.21620742565112,4.73324221393756,0,1.633026834333,0.287165713784005,1.58228784605563,0.307071261737775,0.112551700077302,0.493632373520522,0,0,0,3.48719631442069,0,0.360660684248833,0.879754267535529,0,0.190580145282341,0.400346522313268,0.225103784681729,0,0.217304368795466,6.49990991290239,0.822921047127501,19.0102754351804,0,11.4827663323134,1.83543975221962,0,0.104479999148577,0.107480377380453,0.168912627345815,0.226649659904952,0,0.502310973006377,0.236511531680874,0.947469677354028,0.361167240458123,0.11553242986665,0.71621260195046,1.04382036605001,0.14604577032034,0,0.303955585281914
"9","g__Alistipes",1.79208379060206,3.97506913229293,25.4749925081312,11.0333267530669,1.65480163621559,4.26699113204758,1.94058435899593,39.8133142545393,6.37378971693302,14.6342130062377,2.29122424139416,0,0,5.56300847101817,2.33039670114084,9.488420008102,1.21028442190721,0,3.80504307292676,2.07501606456922,0.405407999591537,2.27184414809805,3.12739466685556,7.41256367441956,0,0.343544787699451,1.77433242691697,0,1.41932868301204,0.461575415798095,5.04468560244516,12.2526047137074,30.6064734644883,14.4237950788185,2.1127858013454,0,3.19402839616381,1.99928474064402,0,2.77602832387088,2.28599230596068,0,28.6525957907722,44.0958443329654,11.1949297504085,6.995041559039,0,0.932169153567398,5.57127313169438,2.304660837576,12.9137361893629,0.425781659767748,4.86881312164283,7.03694483115546,2.30447468539891,23.8457821082906,2.35109017190262,3.75856023220658,21.1591947667942,2.453106556546,2.04312751080951,0.251107784069642,1.70727671003318,2.65303754391344,26.039527575306,11.0377906297794,4.00377957450758,1.69019876063602,17.2595517776918,11.5076908864151,2.10627772445511,22.286631214646,0.345903999018786,5.14458824002251,2.31265155015234,16.7847147390223,15.0080432525186,3.8992849672241,7.39210317070608,0.552384936605822,11.4529849497209,0.992218619629047,1.10298087208521,3.47065503262749,5.79829305479537,0.551548314198425,9.15099572622622,10.2500808125391,0.46212250887399,14.7520578156824,23.5057048784468,26.9047395099765,1.80400722692822,15.4461113919319,5.88408616816431,32.8381427961822
"10","g__Veillonella",1.41784448515025,0.551529780134268,0,0,0,0.21499593091636,0,0,0.184903275370568,0,0,0,3.67595982427979,0,0,0,0,0,0,0,0.103251596087958,0,0,0.158429504917624,0.217777793863295,0.107704518252875,0,0,0,2.56638667160752,0,0,0,0,0,0.315224017726964,0,0,0,0,0,0,0,0,0,0.138411116418111,2.05798693351192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39765946702376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202464085444358,0,5.43856564131716,0,0,0.149681705487891,0,0,0,0,0.259416517346855,0,0,0,0,0,0,0,0,0
"11","g__Dorea",1.25099658981194,1.27529445459352,0.799901840717301,1.14300534610609,0.124540578725979,2.2621324134326,0,1.95386407404701,0.354335113738184,0.773933422311526,0,3.45352379671022,1.55003841602181,1.18368116253131,0,0.617792280703733,0,1.89702367488918,1.54746929865532,2.84232898992376,2.51705540880868,0.36651381386052,0.727998847340189,0.71437908766819,3.66070175480927,2.29133911073688,0.124762703713394,5.03201002551765,1.3209616580761,2.37415411034276,0.658173361339427,0.696575096042411,0.710435135477309,1.27286453100424,0,3.42896754354154,2.11699766052905,0,5.63583695818604,0.380705508428594,4.43274314047405,1.08581112235116,0.919230364208024,0,0.491381406770696,0.771992477403093,1.30987175483919,1.06147143115607,0.270715125409936,0.160918110416451,0.870601205396577,0.777067856986396,1.15167567539316,0.615987115098656,0,1.60296361527669,0.8224998244518,2.36048711362569,0,0.794503867664683,0.354406337226684,0.818733926566292,0.936970232288926,0.984694482926866,0.253429206745824,0.380288195532261,0,0.359178028640879,0,0.328602385490242,4.15131554951374,0,2.33349449356926,0.333296491298581,0.435125714279962,0.163992375406357,0.319080416506183,0,0.516654106825932,0,0,0.938010709250114,0.682230967915437,0.309042342204233,0.797744514395067,1.99127936061381,0.579803472091115,0.418057490356437,2.16409226538473,1.96628355876575,0,0.107385516524637,0.802356342982879,0,0,0.594136140731335
"12","g__Klebsiella",1.20237459085046,1.75399623772297,0,2.22734139907056,0,0.291752843547387,0,0,0.331022402620674,0,0.725158062659724,0.836678549259769,0,0,0,0,0,0,0.314941396655357,0,4.73619584052759,0.168897186507599,0,0.579927176248818,0,0,0,1.65310746869064,0,0.23493190837213,0,0,0,0,0,0,0.815504307449786,0,2.076824812121,0,0.230392682474927,0.245507634920028,0,1.56793565990144,0.139773752054927,0,0.327365025306657,0.406652997923138,0,0,0,0,0,0.223929421762972,0.110188078537865,0,0,0,0.148696658113962,0.134527467247114,0,0,0,0.295848511702293,4.45349858363048,0.711710238817967,0,0,2.46198689662246,0,0.49489657429363,0,0,0,0,0,0,0.120448500341199,0,28.6512954791168,0.320758338332916,0,1.74258494772988,0,0.666757889136167,0,1.65805941131894,0.226807001993794,4.17438143248736,0,0,0.532421262130647,0.799792390208274,0.269872645837248,0,0
"13","g__Sutterellaceae unclassified",1.07561692875573,0.318665226330951,0,0,0,2.26299892622943,0,0,0,0,0,0,0.197128094105312,0,0,0,0,0,0,0,0,0.140428439105409,0.10918875931304,0,0,0,0,0,0,0,0,0,0,0.120548136809324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152684699257304,0.244777445677368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232949380029463,0,0,0,0,0,0,0,0,0.153234966554886,0.473781929034245,0,0,0,0,0.149998428836483,0.195535564305411,0,0,0,0,0,0,0,0,0,0,0
"14","g__Haemophilus",1.0362922376545,0,0,0,0,0,0,0.160421910227063,0,0,0,0.448395186267716,0.751510595685387,0,0,0,0,0,0,0,0.166290047432615,0.133529355550388,0.138689445113431,0,0,0.231308946221652,0,0.320779531697709,0,2.63443404102598,0.162427302020993,0,0.158663444045226,0,0,0,0,0,0,0.49289049619827,0,0,0,0,0,0,0,1.01047260952955,0,0,0.319069033073458,0,0,0,0,0,0.27300130965487,0,0,0,3.04755683631092,0,0,0.142082224774362,0,0,0,0.108030487064802,0,0,0,0,0,0,0,0.249617069298328,0,0,0.601632167604,0,0,0.626548662970274,0.133339487875218,0.130020055676413,0.211971683259511,0,0,0,0,0,0,0,0,0,0,0
"15","g__Tunalikevirus",0.688423844421691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444428839978053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","g__Bilophila",0.431322559670736,0.961456270317573,0,1.4884944729282,0.163543111577416,0.965899799482893,0.961094524920008,0,1.88855076465994,1.24594257228708,0.171872204628174,1.67792229888206,0,0.854139687325249,0.649427466779585,1.50488224810841,0.142648513420642,2.36781003411658,0.149993686862961,1.40683242851493,0,0.298375336016957,0.481619825104802,1.56571972138419,0.606896504576933,0,0.268139644428811,2.705221261496,0.146147879734623,0.382161671295698,0.142563683454742,0.937065232470944,0,1.99788164055996,2.06177881580291,0.397949580649982,0.492640236388544,0.125291140142331,2.45049030328845,0.307838017939952,0,0,0.130679624308617,0,0.611454827230205,0.593190498934761,0.278368205079806,0.143915034012121,0.562722226213492,0.332708115648425,1.64028332845628,0.547120640849879,0.429821688928664,0.556038378064017,0.301160567036732,0.40842227704601,0.456435365965509,0,0.86000052861883,0.449704382221192,0.507259521291162,0.228207542993291,0.356383481881681,0.140027441430113,0,0.849620708456522,1.3738172758336,0.130618406021759,1.19282929417241,0.704771984648352,0,0.769092874553827,0.410050256098235,0.112334713234999,0.257709492764345,0.355090346281279,0.18481295697608,0.106581173624667,0,0.216147559368251,0.978670224698915,0.237484664603239,0.275930857735757,0.770602998502827,0.286577196311558,0.478154006978241,0.413313477307653,0.417104098091419,0,0.41168365276846,1.25469947099049,0.567312481872645,0.411227860896211,0.572867624226333,0.612644415917843,0.315830264283499
